R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MWh,New_Build,Cap_size,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost_per_MW_alt,Start_cost_per_MW,Start_cost,Start_fuel_MMBTU_per_MW,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Min_Cap_MW,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Fixed_CAP,Fixed_CAP_MW,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days
16,3,Hydro_Res_3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,67.7,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
17,3,Hydro_RoR_3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,50.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
18,3,PV_3_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,225447.5129,0,0,79197.38331,0,11153,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
19,3,Wind_3_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,5965.663833,0,0,90947.92614,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
20,3,Wind_3_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3626.721141,0,0,90761.34042,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
21,3,Wind_3_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1552.653802,0,0,90742.21604,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
22,4,Nuclear,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,462800,0,100889,2,0,208,291,291200,0,0,10,uranium,0.5,0,1.00,1.00,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
23,4,PV_4_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,26776.03748,0,0,91685.70783,0,11153,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
24,4,Wind_4_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,318.8296042,0,0,103515.2485,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
25,4,Wind_4_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,970.6140934,0,0,104007.8706,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
26,4,Wind_4_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,42.24480553,0,0,95772.9665,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
27,5,Nuclear,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,462800,0,100889,2,0,208,291,291200,0,0,10,uranium,0.5,0,1.00,1.00,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
28,5,Hydro_Res_5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,278.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
29,5,Hydro_RoR_5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,283.1,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
30,5,PV_5_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,798348.3313,0,0,86273.17117,0,11153,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
31,5,Wind_5_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,15184.43951,0,0,96762.73181,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
32,5,Wind_5_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,16264.54171,0,0,97102.2133,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
33,5,Wind_5_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,8163.464976,0,0,101555.2588,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
34,6,Nuclear,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000,-1,0,0,462800,0,100889,2,0,208,291,291200,0,0,10,uranium,0.5,0,1.00,1.00,0,0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
35,6,Hydro_Res_6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3625.8,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
36,6,Hydro_RoR_6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,496.6,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
37,6,PV_6_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2262162.433,0,0,85379.73805,0,11153,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
38,6,Wind_6_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,57621.04313,0,0,95635.13902,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
39,6,Wind_6_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,44002.52283,0,0,98081.95479,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
40,6,Wind_6_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10559.30741,0,0,99623.6162,0,34568,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
41,7,Hydro_Can,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3872.318514,0,0,0,-1,1,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,none,0.1,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
42,1,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
43,2,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
44,3,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
45,4,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
46,5,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
47,6,CCGT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,573,-1,0,0,65800,0,10560,3,0,79,79,45267,9,5249,6,natural_gas,0.33,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.67,0.67,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
48,1,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
49,2,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
50,3,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
51,4,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
52,5,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
53,6,OCGT_F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,384,-1,0,0,65700,0,12230,7,0,103,64,24411,0,52,9,natural_gas,0.25,0,1.00,1.00,0,0,0,0,0,0,1,1,1,1,1,0,0.75,0.75,0.75,0.75,0,0,trans,-1,0,0,0,0,0,0,0,0,0
54,1,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
55,2,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
56,3,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
57,4,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
58,5,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
59,6,CCGT_CCS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400,-1,0,0,144800,0,33620,7,0,95,95,37920,11,4397,7,natural_gas_ccs,0.5,0,1.00,1.00,0,0,0,0,0,0,1,1,4,4,1,0,0.5,0.5,0.67,0.67,0,0,trans,-1,0,0,0,0,0,0,0,0,0
60,2,Wind_offshore_2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,153300,0,48215,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
61,4,Wind_offshore_4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,153300,0,48215,0,0,0,0,0,0,0,0,none,0,0,1.00,1.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,-1,0,0,0,0,0,0,0,0,0
62,1,PHS_1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1000,0,0,142500,0,41000,0.02,0,0,0,0,0,0,0,none,0,0,0.89,0.89,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
63,2,PHS_2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1540,0,0,0,-1,1,1700,0,0,319600,0,41000,0.02,0,0,0,0,0,0,0,none,0,0,0.89,0.89,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
64,3,PHS_3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0.89,0.89,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
65,5,PHS_5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1000,0,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0.89,0.89,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
66,6,PHS_6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,240,0,0,0,-1,1,2240,0,0,142500,0,41000,0.02,0,0,0,0,0,0,0,none,0,0,0.89,0.89,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0
67,1,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
68,2,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
69,3,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
70,4,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
71,5,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
72,6,Storage_bat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,13200,13800,2452,1,0,0,0,0,0,0,0,none,0,0.000042,0.92,0.92,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3071,1,0,0,0,0,0,0,0
73,1,Storage_flow,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,43000,4600,4080,0.85,0,0,0,0,0,0,0,none,0,0.000063,0.92,0.88,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,1,0,0,0,0,0,0,0
74,2,Storage_flow,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,43000,4600,4080,0.85,0,0,0,0,0,0,0,none,0,0.000063,0.92,0.88,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,1,0,0,0,0,0,0,0
75,3,Storage_flow,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,43000,4600,4080,0.85,0,0,0,0,0,0,0,none,0,0.000063,0.92,0.88,0,0.25,300,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,1,0,0,0,0,0,0,0
